Data,Ponto 1,Ponto 2,Ponto 3,Ponto 4,Justificativa
sex 02/05,"07:02
Entrada",,,,
sáb 03/05,,,,,
dom 04/05,,,,,
seg 05/05,"07:00
Entrada",,,,
ter 06/05,"07:05
Entrada",,,,
qua 07/05,"07:02
Entrada",,,,
qui 08/05,"07:07
Entrada",,,,
sex 09/05,"07:03
Entrada",,,,
sáb 10/05,,,,,
dom 11/05,,,,,
seg 12/05,"07:04
Entrada",,,,
ter 13/05,"07:05
Entrada",,,,
qua 14/05,"07:03
Entrada",,,,
qui 15/05,"07:05
Entrada",,,,
sex 16/05,"07:05
Entrada",,,,
sáb 17/05,,,,,
dom 18/05,,,,,
seg 19/05,"07:04
Entrada",,,,
ter 20/05,"07:05
Entrada",,,,
qua 21/05,"07:06
Entrada",,,,
qui 22/05,"07:08
Entrada",,,,
sex 23/05,"07:05
Entrada",,,,
sáb 24/05,,,,,
dom 25/05,,,,,
